Kepler ID,RA (J2000),Dec (J2000),RA PM,Dec PM,Star/Gal ID,Teff,Log G,Metallicity,E(B-V),A_V,Radius,Parallax
4055352,291.0649500,39.1192000,-0.004,-0.015,0,5351,4.551,0.082,0.112,0.349,0.873,
4055354,291.0652600,39.1607800,0.004,0.014,0,5414,4.281,0.011,0.143,0.444,1.232,
4055367,291.0700290,39.1472600,-0.002,0.004,0,5771,4.488,0.020,0.141,0.436,0.974,
4055390,291.0744110,39.1996100,0.003,-0.024,0,4097,4.526,-0.048,0.048,0.150,0.696,
4055411,291.0809100,39.1038500,0.020,0.000,0,5828,4.753,0.232,0.061,0.188,0.703,
4055471,291.0965100,39.1364300,-0.006,-0.004,0,5015,4.275,-0.094,0.117,0.362,1.208,
4055517,291.1103600,39.1481300,6.000e-4,-0.001,0,5809,4.461,-0.538,0.156,0.483,1.010,
4055551,291.1191900,39.1226800,-0.004,0.008,0,5533,4.597,-0.257,0.151,0.467,0.839,
4055557,291.1206390,39.1527800,-6.000e-4,0.009,0,5592,4.445,-0.203,0.165,0.511,1.018,
4055599,291.1318200,39.1794000,0.002,-0.005,0,6013,4.219,-0.451,0.146,0.453,1.375,
4055608,291.1346100,39.1476400,0.002,-0.007,0,6044,4.435,-0.244,0.153,0.473,1.053,
4055609,291.1346400,39.1099900,7.000e-4,-0.009,0,6320,4.346,-0.287,0.086,0.267,1.189,
4055632,291.1416600,39.1594400,0.008,-0.012,0,5259,4.582,-0.566,0.147,0.457,0.831,
4055669,291.1495800,39.1246900,0.000,0.000,0,5396,4.755,0.090,0.122,0.378,0.676,
4055682,291.1546500,39.1199000,-0.003,-0.010,0,5757,4.412,-0.213,0.172,0.534,1.070,
4055748,291.1741800,39.1239700,-0.003,-0.010,0,5640,4.591,-0.115,0.143,0.444,0.854,
4055774,291.1799900,39.1050800,-6.000e-4,8.000e-4,0,5428,4.655,-0.152,0.134,0.416,0.771,
4055787,291.1840500,39.1412300,6.000e-4,0.005,0,5482,4.342,-0.322,0.163,0.504,1.147,
4055827,291.1945700,39.1312200,0.001,0.009,0,6257,4.113,-0.390,0.148,0.459,1.591,
4055870,291.2051100,39.1426600,0.004,0.020,0,5994,4.508,-0.032,0.089,0.276,0.961,
4055911,291.2186600,39.1978800,-0.009,-0.002,0,5049,2.864,-0.161,0.216,0.669,7.443,
4056136,291.2848800,39.1400300,0.002,0.003,0,9846,4.284,0.036,0.088,0.272,1.649,
4056294,291.3302210,39.1798900,-0.020,0.009,0,5319,3.665,-0.234,0.134,0.415,2.787,
4056311,291.3369600,39.1122300,-0.007,-0.012,0,5647,4.508,-0.072,0.160,0.495,0.945,
4069477,294.6605300,39.1403200,0.008,0.009,0,7189,3.796,-0.081,0.136,0.423,2.507,
4069871,294.7635800,39.1447600,-0.002,-0.001,0,7022,3.938,-0.187,0.164,0.508,2.058,
4070524,294.9154100,39.1980200,-0.001,0.007,0,6526,4.215,-0.258,0.172,0.532,1.413,
4070713,294.9550500,39.1945200,-0.026,0.014,0,6851,4.085,-0.178,0.195,0.604,1.692,
4168574,294.1708800,39.2549700,-9.000e-4,-5.000e-4,0,7709,3.503,-0.073,0.153,0.473,3.839,
4168967,294.2615900,39.2225600,0.001,-0.005,0,6507,4.207,-0.103,0.124,0.385,1.426,
4169101,294.2886300,39.2175200,-0.018,-0.006,0,6514,4.104,-0.253,0.159,0.494,1.628,
4169521,294.3834300,39.2552600,-1.000e-4,-0.001,0,8099,3.990,-0.067,0.245,0.760,2.088,
4169762,294.4338990,39.2311940,-0.008,-0.009,0,,,,,,,
4170040,294.4963500,39.2485900,-0.016,-0.020,0,5063,4.529,-0.112,0.145,0.448,0.872,
4170304,294.5588600,39.2321600,-0.005,0.005,0,6248,4.212,-0.520,0.129,0.400,1.401,
4170631,294.6378500,39.2385400,0.005,0.004,0,7498,3.469,-0.239,0.173,0.537,3.950,
4170666,294.6455300,39.2986200,0.030,-3.000e-4,0,6373,4.109,-0.205,0.148,0.458,1.605,
4170773,294.6681300,39.2892200,0.002,0.003,0,6374,4.308,-0.142,0.132,0.409,1.249,
4170871,294.6874310,39.2694200,-0.013,-0.020,0,6114,4.357,-0.567,0.094,0.293,1.162,
4171090,294.7375590,39.2232100,0.006,-0.014,0,6109,3.923,-0.470,0.185,0.575,2.020,
4171102,294.7393100,39.2123500,0.003,-0.007,0,6786,4.155,-0.035,0.145,0.449,1.544,
4171191,294.7620000,39.2197900,-0.004,-0.004,0,6257,4.170,-0.304,0.094,0.291,1.478,
